DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,1,1,1,1
82,1,1,1,1
83,0,0,0,0
84,3,3,3,3
85,0,1,1,1
86,3,1,1,1
87,5,1,1.611,2
88,2,2,2.4,3
89,2,3,3.191,4
90,3,4,4.299,5
91,4,5,5.494,6
92,5,6,7.065,8
93,3,8,8.649,10
94,9,10,10.823,12
95,11,12,13.158,14
96,12,14,16.343,19
97,1,16,18.76,22
98,7,19,21.86,25
99,7,22,25.451,29
100,7,25,29.216,34
101,9,29,32.918,37
102,13,33,36.459,41
103,7,36,40.403,46
104,7,39,43.284,49
105,9,42,46.298,53
106,11,45,49.228,55
107,8,46,51.125,57
108,19,48,52.538,58
109,8,53,58.43,64
110,7,49,54.518,60
111,3,49,55.013,60
112,21,49,54.847,60
113,20,47,54.097,59
114,21,46,53.368,59
115,17,44,51.373,57
116,7,42,49.624,56
117,2,39,47.648,54
118,1,37,45.526,52
119,17,35,43.282,51
120,11,32,40.993,49
121,16,30,38.703,47
122,10,27,36.401,44
123,N/A,25,34.139,42
124,N/A,23,31.944,40.025
125,N/A,21,29.843,39
126,N/A,19,27.806,37
127,N/A,17,25.887,35
128,N/A,15,24.055,33
129,N/A,14,22.367,31
130,N/A,12,20.732,30
131,N/A,11,19.236,28
132,N/A,10,17.822,26
133,N/A,8,16.485,25
134,N/A,8,15.279,24
135,N/A,7,14.154,22
136,N/A,6,13.089,21
137,N/A,5,12.125,20
138,N/A,4.975,11.229,19
139,N/A,4,10.373,18
140,N/A,3,9.62,17
141,N/A,3,8.895,16
142,N/A,3,8.262,15
143,N/A,2,7.639,14
144,N/A,2,7.074,13
145,N/A,2,7.058,13
146,N/A,1,6.094,12
147,N/A,1,5.649,11
148,N/A,1,5.193,10
149,N/A,1,4.801,10
150,N/A,1,4.469,9
151,N/A,1,4.196,9
152,N/A,1,3.942,8
153,N/A,0,3.675,8
154,N/A,0,3.391,7
155,N/A,0,3.104,7
156,N/A,0,2.799,6
157,N/A,0,2.559,6
158,N/A,0,2.345,6
159,N/A,0,2.164,5
160,N/A,0,2.021,5
161,N/A,0,1.882,5
162,N/A,0,1.752,4
163,N/A,0,1.639,4
164,N/A,0,1.53,4
165,N/A,0,1.421,4
166,N/A,0,1.319,3
167,N/A,0,1.24,3
168,N/A,0,1.142,3
169,N/A,0,1.06,3
170,N/A,0,0.999,3
171,N/A,0,0.937,2
172,N/A,0,0.876,2
173,N/A,0,0.808,2
174,N/A,0,0.744,2
175,N/A,0,0.67,2
176,N/A,0,0.611,2
177,N/A,0,0.564,2
178,N/A,0,0.527,2
179,N/A,0,0.507,1
180,N/A,0,0.495,1
181,N/A,0,0.485,1
182,N/A,0,0.477,1
183,N/A,0,0.46,1
184,N/A,0,0.428,1
185,N/A,0,0.396,1
186,N/A,0,0.352,1
187,N/A,0,0.292,1
188,N/A,0,0.252,1
189,N/A,0,0.197,1
190,N/A,0,0.149,1
191,N/A,0,0.113,1
192,N/A,0,0.073,1
193,N/A,0,0.046,1
194,N/A,0,0.031,1
195,N/A,0,0.013,0
196,N/A,0,0.004,0
197,N/A,0,0.003,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
