DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,1,0,0,0
79,0,3,3,3
80,2,0,0,0
81,2,2,2,2
82,1,4,4,4
83,8,6,6,6
84,9,9,9,9
85,18,10,12.907,16
86,16,13,18.638,26
87,29,18,26.278,39
88,18,23,36.104,57
89,23,30,48.357,80
90,57,38,63.174,110.025
91,75,47,80.495,147.025
92,78,56.975,100.044,191
93,80,67,121.258,235.075
94,62,76.975,143.418,288.15
95,61,88,165.485,351.075
96,76,97,186.383,406
97,111,103,204.903,452.1
98,118,105,219.978,496.075
99,114,105.9,230.702,537.125
100,117,97.925,236.697,567
101,204,82,237.48,597
102,111,69.975,233.043,605.15
103,96,58.875,223.823,612.15
104,0,44.925,210.507,577.225
105,281,32.975,193.959,555
106,153,23.975,175.227,542.15
107,172,17,155.303,505.125
108,134,11.975,135.1,459.1
109,81,7,115.471,414.025
110,82,5,96.984,363
111,77,3,80.148,309.025
112,235,2,65.217,265.15
113,113,1,52.251,230.075
114,164,0.975000000000001,41.263,191.15
115,108,0,32.148,158.05
116,189,0,24.726,125.125
117,42,0,18.77,101
118,91,0,14.082,81.025
119,161,0,10.438,64
120,103,0,7.674,49.025
121,119,0,5.574,37.025
122,77,0,4.005,27.025
123,N/A,0,2.846,19.05
124,N/A,0,2.021,15
125,N/A,0,1.396,10.025
126,N/A,0,0.964,7.02499999999998
127,N/A,0,0.668,5
128,N/A,0,0.442,4
129,N/A,0,0.295,2
130,N/A,0,0.194,1.02499999999998
131,N/A,0,0.129,1
132,N/A,0,0.081,1
133,N/A,0,0.054,0
134,N/A,0,0.036,0
135,N/A,0,0.019,0
136,N/A,0,0.013,0
137,N/A,0,0.008,0
138,N/A,0,0.005,0
139,N/A,0,0.003,0
140,N/A,0,0.002,0
141,N/A,0,0.001,0
142,N/A,0,0,0
143,N/A,0,0,0
144,N/A,0,0,0
145,N/A,0,0,0
146,N/A,0,0,0
147,N/A,0,0,0
148,N/A,0,0,0
149,N/A,0,0,0
150,N/A,0,0,0
151,N/A,0,0,0
152,N/A,0,0,0
153,N/A,0,0,0
154,N/A,0,0,0
155,N/A,0,0,0
156,N/A,0,0,0
157,N/A,0,0,0
158,N/A,0,0,0
159,N/A,0,0,0
160,N/A,0,0,0
161,N/A,0,0,0
162,N/A,0,0,0
163,N/A,0,0,0
164,N/A,0,0,0
165,N/A,0,0,0
166,N/A,0,0,0
167,N/A,0,0,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
