DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,1,0,0,0
80,3,0,0,0
81,2,0,0,0
82,-6,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,0,0,0
86,0,0,0,0
87,1,0,0,0
88,0,0,0,0
89,1,0,0,0
90,0,0,0.004,0
91,0,0,0.018,0
92,0,0,0.063,1
93,0,0,0.139,1
94,0,0,0.209,1
95,2,0,0.3,1
96,2,0,0.404,1
97,0,0,0.547,2
98,-1,0,0.707,2
99,1,0,0.877,2
100,0,0,1.072,3
101,0,0,1.278,3
102,1,0,1.525,4
103,0,0,1.766,4
104,0,0,2.031,4
105,1,0,2.325,5
106,0,0,2.602,5
107,0,1,2.89,5
108,0,1,3.156,5
109,0,1,3.446,6
110,0,1,3.68,6
111,0,1,3.919,6
112,0,2,4.119,6
113,0,2,4.297,6
114,0,2,4.437,6
115,0,3,4.552,6
116,0,3,4.627,6
117,0,3,4.684,6
118,0,3,4.674,6
119,0,4,4.649,6
120,0,3,4.597,6
121,0,3,4.506,6
122,0,3,4.395,6
123,N/A,3,4.274,5
124,N/A,3,4.138,5
125,N/A,2,3.974,5
126,N/A,2,3.81,5
127,N/A,2,3.635,5
128,N/A,2,3.462,5
129,N/A,2,3.281,5
130,N/A,1,3.107,5
131,N/A,1,2.944,5
132,N/A,1,2.751,4
133,N/A,1,2.552,4
134,N/A,1,2.402,4
135,N/A,1,2.256,4
136,N/A,1,2.137,4
137,N/A,1,2,4
138,N/A,1,1.867,4
139,N/A,1,1.777,3
140,N/A,0,1.664,3
141,N/A,0,1.566,3
142,N/A,0,1.434,3
143,N/A,0,1.322,3
144,N/A,0,1.222,3
145,N/A,0,1.119,2
146,N/A,0,1.014,2
147,N/A,0,0.898,2
148,N/A,0,0.82,2
149,N/A,0,0.748,2
150,N/A,0,0.694,2
151,N/A,0,0.647,2
152,N/A,0,0.593,2
153,N/A,0,0.569,2
154,N/A,0,0.544,2
155,N/A,0,0.531,1
156,N/A,0,0.519,1
157,N/A,0,0.51,1
158,N/A,0,0.504,1
159,N/A,0,0.496,1
160,N/A,0,0.483,1
161,N/A,0,0.464,1
162,N/A,0,0.439,1
163,N/A,0,0.412,1
164,N/A,0,0.375,1
165,N/A,0,0.342,1
166,N/A,0,0.291,1
167,N/A,0,0.241,1
168,N/A,0,0.199,1
169,N/A,0,0.164,1
170,N/A,0,0.128,1
171,N/A,0,0.101,1
172,N/A,0,0.073,1
173,N/A,0,0.047,1
174,N/A,0,0.038,1
175,N/A,0,0.023,0
176,N/A,0,0.015,0
177,N/A,0,0.01,0
178,N/A,0,0.009,0
179,N/A,0,0.005,0
180,N/A,0,0.003,0
181,N/A,0,0.001,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
