DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,2,2,2,2
85,-1,0,0,0
86,1,0,0,0
87,4,1,1,1
88,-1,2,2,2
89,0,1,1,1
90,2,1,1,1
91,1,2,2,2
92,2,3,2.995,3
93,2,3,3,3
94,0,4,4,4
95,1,4,4.917,5
96,2,5,5.536,6
97,1,6,6.429,7
98,2,7,7.612,8
99,0,8,8.943,10
100,3,10,10.234,11
101,3,11,11.569,13
102,1,12,13.415,15
103,2,14,15.117,17
104,0,16,17.115,19
105,5,17,18.878,21
106,2,18,20.586,24
107,3,20,22.209,26
108,0,21,23.74,28
109,1,22,25.108,30
110,1,23,26.325,33
111,3,23,27.297,35
112,1,23,28.045,36
113,1,23,28.506,38
114,1,23,28.704,39
115,2,23,28.614,40
116,1,22,28.251,41
117,2,21,27.626,42
118,1,20,26.745,42
119,6,19,25.655,42
120,2,17,24.38,42
121,2,16,22.9,41
122,3,14,21.402,40
123,8,12,19.698,39
124,3,11,18.129,37
125,5,9,16.308,35
126,3,8,14.82,33
127,4,7,13.095,31
128,N/A,5.975,11.448,29
129,N/A,4.975,10.06,26
130,N/A,4,8.702,24
131,N/A,3,7.4,22
132,N/A,2,6.542,19.025
133,N/A,2,5.513,17.025
134,N/A,1,4.42,15.025
135,N/A,1,3.899,14
136,N/A,1,2.921,12
137,N/A,1,2.493,10
138,N/A,0,2.147,9
139,N/A,0,1.856,7
140,N/A,0,1.344,6
141,N/A,0,0.868,5
142,N/A,0,0.681,4
143,N/A,0,0.541,4
144,N/A,0,0.41,3
145,N/A,0,0.313,2
146,N/A,0,0.232,2
147,N/A,0,0.169,1
148,N/A,0,0.105,1
149,N/A,0,0.071,1
150,N/A,0,0.045,1
151,N/A,0,0.027,1
152,N/A,0,0.014,0
153,N/A,0,0.008,0
154,N/A,0,0.007,0
155,N/A,0,0.002,0
156,N/A,0,0.001,0
157,N/A,0,0,0
158,N/A,0,0,0
159,N/A,0,0,0
160,N/A,0,0,0
161,N/A,0,0,0
162,N/A,0,0,0
163,N/A,0,0,0
164,N/A,0,0,0
165,N/A,0,0,0
166,N/A,0,0,0
167,N/A,0,0,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
