DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,1,1,1
86,0,0,0,0
87,1,3,3,3
88,1,0,0,0
89,1,6,6,6
90,2,0,0,0
91,7,13,13,13
92,3,9,12.217,15
93,1,13,17.623,23
94,4,18,24.847,33
95,5,23,34.116,47
96,5,31,45.797,64.025
97,1,40,59.957,85.025
98,7,50,76.62,111
99,9,62,95.612,141
100,0,73,116.603,175.025
101,10,83,139.078,215
102,2,89,162.402,261
103,1,90,185.999,313.025
104,0,82,209.244,371.025
105,12,70.975,231.615,436
106,2,62,254.507,501.025
107,7,52.95,275.806,567
108,14,42.925,294.942,631
109,14,32.975,311.378,691
110,2,24.975,324.563,745.025
111,0,17.975,334.141,790.025
112,29,11.975,339.697,824.05
113,34,7.975,341.035,847.05
114,21,5,338.051,857.05
115,12,3,330.779,853.05
116,4,2,319.415,837.025
117,6,1,304.344,807.025
118,9,0,286.031,766.025
119,13,0,265.129,715.025
120,21,0,242.296,658
121,10,0,218.272,595.025
122,18,0,193.788,530.05
123,N/A,0,169.535,464.075
124,N/A,0,146.163,400.05
125,N/A,0,124.119,340
126,N/A,0,103.808,283.05
127,N/A,0,85.546,233.025
128,N/A,0,69.433,188.05
129,N/A,0,55.48,151
130,N/A,0,43.666,119
131,N/A,0,33.855,92.025
132,N/A,0,25.833,70
133,N/A,0,19.429,53
134,N/A,0,14.373,39
135,N/A,0,10.484,28
136,N/A,0,7.522,20.025
137,N/A,0,5.315,15
138,N/A,0,3.687,10
139,N/A,0,2.528,7
140,N/A,0,1.698,5
141,N/A,0,1.138,3
142,N/A,0,0.719,2
143,N/A,0,0.509,1
144,N/A,0,0.395,1
145,N/A,0,0.059,1
146,N/A,0,0,0
147,N/A,0,0,0
148,N/A,0,0,0
149,N/A,0,0,0
150,N/A,0,0,0
151,N/A,0,0,0
152,N/A,0,0,0
153,N/A,0,0,0
154,N/A,0,0,0
155,N/A,0,0,0
156,N/A,0,0,0
157,N/A,0,0,0
158,N/A,0,0,0
159,N/A,0,0,0
160,N/A,0,0,0
161,N/A,0,0,0
162,N/A,0,0,0
163,N/A,0,0,0
164,N/A,0,0,0
165,N/A,0,0,0
166,N/A,0,0,0
167,N/A,0,0,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
