DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,2,1,1,1
77,0,1,1,1
78,2,0,0,0
79,1,0,0,0
80,0,0,0,0
81,4,2,2,2
82,5,2,2,2
83,5,1,1,1
84,5,5,5,5
85,5,2,2,2
86,6,3,3,3
87,9,8,8,8
88,3,6,6,6
89,10,1,1,1
90,18,3,3,3
91,15,14,14,14
92,21,7,9.581,11
93,22,8,10.969,13
94,21,9,12.446,15
95,31,10,14.067,17
96,25,12,15.81,19
97,34,13,17.702,22
98,25,14,19.701,25
99,35,16,21.858,29
100,28,17,23.809,32
101,35,18,25.709,36
102,25,18,27.537,39
103,20,19,29.265,43
104,28,19,30.874,47
105,33,20,32.312,51
106,42,20,33.591,54
107,37,20,34.623,58
108,30,19,35.45,62
109,34,19,36.041,65
110,25,18,36.367,68
111,32,18,36.426,71
112,35,17,36.219,73.025
113,42,16,35.783,75.025
114,39,15,35.092,76.025
115,28,14,34.202,76.025
116,26,13,33.112,76.025
117,36,11,31.834,76.025
118,31,10,30.395,75.025
119,33,9,28.861,74
120,20,8,27.17,72
121,44,7,25.474,69.025
122,55,6,23.683,67
123,N/A,5,21.892,63.025
124,N/A,4,20.117,60
125,N/A,4,18.358,56
126,N/A,3,16.69,53
127,N/A,3,15.058,49
128,N/A,2,13.414,45
129,N/A,2,12.036,41
130,N/A,1,10.612,37.025
131,N/A,1,9.224,34.025
132,N/A,1,8.18,30.025
133,N/A,1,7.204,27
134,N/A,0,6.225,24
135,N/A,0,5.078,21
136,N/A,0,4.284,18
137,N/A,0,3.636,16
138,N/A,0,3.075,14
139,N/A,0,2.573,12
140,N/A,0,2.15,10
141,N/A,0,1.78,8
142,N/A,0,1.46,7
143,N/A,0,1.191,6
144,N/A,0,0.977,5
145,N/A,0,0.769,4
146,N/A,0,0.614,3
147,N/A,0,0.474,3
148,N/A,0,0.376,2
149,N/A,0,0.266,2
150,N/A,0,0.188,1
151,N/A,0,0.122,1
152,N/A,0,0.075,1
153,N/A,0,0.043,1
154,N/A,0,0.028,1
155,N/A,0,0.016,0
156,N/A,0,0.007,0
157,N/A,0,0.002,0
158,N/A,0,0.001,0
159,N/A,0,0,0
160,N/A,0,0,0
161,N/A,0,0,0
162,N/A,0,0,0
163,N/A,0,0,0
164,N/A,0,0,0
165,N/A,0,0,0
166,N/A,0,0,0
167,N/A,0,0,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
