DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,0,0,0,0
86,3,3,3,3
87,1,0,0,0
88,1,1,1,1
89,1,1,1,1
90,1,1,1,1
91,2,2,2,2
92,0,1,1,1
93,0,0,0,0
94,1,0,0,0
95,0,1,3.138,9
96,0,0,1.744,6.02499999999998
97,2,0,2.006,7
98,2,0,2.149,7
99,3,0,2.243,8.02499999999998
100,6,0,2.698,10
101,2,0,2.656,9
102,2,1,2.758,10
103,0,1,2.966,10
104,6,0,3.005,12
105,6,1,2.978,11
106,2,0,2.874,9
107,0,0,3.549,11
108,2,0,2.839,10
109,1,0,2.79,10.025
110,1,0,2.935,10
111,3,0,2.485,9
112,3,0,2.261,9
113,3,0,2.086,8.02499999999998
114,0,0,1.797,7
115,0,0,1.574,7
116,2,0,1.558,8
117,0,0,1.327,6
118,2,0,1.015,5
119,0,0,0.882,5
120,2,0,0.618,3
121,2,0,0.463,2
122,0,0,0.388,2
123,1,0,0.307,2
124,0,0,0.131,1
125,0,0,0.003,0
126,2,0,0.001,0
127,1,0,0,0
128,N/A,0,0,0
129,N/A,0,0,0
130,N/A,0,0,0
131,N/A,0,0,0
132,N/A,0,0,0
133,N/A,0,0,0
134,N/A,0,0,0
135,N/A,0,0,0
136,N/A,0,0,0
137,N/A,0,0,0
138,N/A,0,0,0
139,N/A,0,0,0
140,N/A,0,0,0
141,N/A,0,0,0
142,N/A,0,0,0
143,N/A,0,0,0
144,N/A,0,0,0
145,N/A,0,0,0
146,N/A,0,0,0
147,N/A,0,0,0
148,N/A,0,0,0
149,N/A,0,0,0
150,N/A,0,0,0
151,N/A,0,0,0
152,N/A,0,0,0
153,N/A,0,0,0
154,N/A,0,0,0
155,N/A,0,0,0
156,N/A,0,0,0
157,N/A,0,0,0
158,N/A,0,0,0
159,N/A,0,0,0
160,N/A,0,0,0
161,N/A,0,0,0
162,N/A,0,0,0
163,N/A,0,0,0
164,N/A,0,0,0
165,N/A,0,0,0
166,N/A,0,0,0
167,N/A,0,0,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
