DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
3,N/A,0,0,0
4,N/A,0,0,0
5,N/A,0,0,0
6,N/A,0,0,0
7,N/A,0,0,0
8,N/A,0,0,0
9,N/A,0,0,0
10,N/A,0,0,0
11,N/A,0,0,0
12,N/A,0,0,0
13,N/A,0,0,0
14,N/A,0,0,0
15,N/A,0,0,0
16,N/A,0,0,0
17,N/A,0,0,0
18,N/A,0,0,0
19,N/A,0,0,0
20,N/A,0,0,0
21,N/A,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,2,0,0,0
67,0,0,0,0
68,0,2,2,2
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,1,1,1,1
75,0,1,1,1
76,2,1,1,1
77,1,1,1,1
78,1,1,1,1
79,1,2,2,2
80,2,1,1,1
81,0,3,3,3
82,3,0,0,0
83,6,5,5,5
84,2,0,0,0
85,4,5,5,5
86,5,6,6,6
87,16,6,6,6
88,10,19,19,19
89,3,2,2,2
90,12,7,7,7
91,14,22,22,22
92,12,2,2,2
93,47,77,77,77
94,26,6,6,6
95,25,25,25,25
96,26,26,26,26
97,33,15,15,15
98,42,47,47,47
99,27,26,26,26
100,48,45,45,45
101,48,36,36,36
102,27,48,48,48
103,15,23,23,23
104,0,38,38,38
105,110,72,72,72
106,43,25,25,25
107,54,72,72,72
108,58,57,57,57
109,22,23,23,23
110,26,26,26,26
111,49,48,48,48
112,44,11.975,44.001,118
113,60,11,43.146,116
114,60,11,42.126,113
115,59,10.975,40.912,110
116,9,10,39.546,107
117,19,9.975,38.08,104
118,14,9,36.512,101
119,83,8,34.855,97
120,47,7,33.132,94
121,49,7,31.376,91
122,47,6,29.593,87
123,N/A,5,27.803,84
124,N/A,5,26.031,80
125,N/A,4,24.251,76.025
126,N/A,4,22.518,72
127,N/A,3,20.836,68
128,N/A,3,19.207,63.025
129,N/A,2,17.643,58.025
130,N/A,2,16.122,53.025
131,N/A,2,14.685,49
132,N/A,2,13.355,45
133,N/A,1,12.089,41
134,N/A,1,10.896,37.025
135,N/A,1,9.769,35
136,N/A,1,8.756,32
137,N/A,1,7.81,29
138,N/A,1,6.938,27
139,N/A,1,6.133,24
140,N/A,0,5.415,21.025
141,N/A,0,4.758,18.025
142,N/A,0,4.139,16
143,N/A,0,3.619,14
144,N/A,0,3.131,12
145,N/A,0,2.706,10
146,N/A,0,2.32,9
147,N/A,0,1.98,7.02499999999998
148,N/A,0,1.675,6
149,N/A,0,1.409,6
150,N/A,0,1.169,5
151,N/A,0,0.954,4
152,N/A,0,0.768,3
153,N/A,0,0.613,3
154,N/A,0,0.491,2
155,N/A,0,0.386,2
156,N/A,0,0.299,2
157,N/A,0,0.215,1
158,N/A,0,0.158,1
159,N/A,0,0.103,1
160,N/A,0,0.063,1
161,N/A,0,0.038,1
162,N/A,0,0.024,0
163,N/A,0,0.013,0
164,N/A,0,0.008,0
165,N/A,0,0.005,0
166,N/A,0,0.002,0
167,N/A,0,0.001,0
168,N/A,0,0,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
