DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
3,N/A,0,0,0
4,N/A,0,0,0
5,N/A,0,0,0
6,N/A,0,0,0
7,N/A,0,0,0
8,N/A,0,0,0
9,N/A,0,0,0
10,N/A,0,0,0
11,N/A,0,0,0
12,N/A,0,0,0
13,N/A,0,0,0
14,N/A,0,0,0
15,N/A,0,0,0
16,N/A,0,0,0
17,N/A,0,0,0
18,N/A,0,0,0
19,N/A,0,0,0
20,N/A,0,0,0
21,N/A,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,1,0,0,0
76,0,1,1,1
77,0,0,0,0
78,0,0,0,0
79,1,1,1,1
80,0,0,0,0
81,1,1,1,1
82,0,0,0,0
83,1,1,1,1
84,0,0,0,0
85,1,1,1,1
86,0,0,0,0
87,4,2,2,2
88,1,2,2,2
89,0,0,0,0
90,1,2,2,2
91,7,0,0,0
92,2,7,7,7
93,11,13,13,13
94,6,3,3,3
95,3,6,6,6
96,5,5,5,5
97,14,0,0,0
98,3,20,20,20
99,4,0,0,0
100,13,8,8,8
101,11,17,17,17
102,4,0,0,0
103,2,7,7,7
104,9,16,16,16
105,10,0,0,0
106,6,9,9,9
107,8,14,14,14
108,8,8,8,8
109,7,7,7,7
110,4,2,2,2
111,6,8,8,8
112,17,17,17,17
113,14,4,14.246,41.025
114,6,4,14.689,43
115,9,4,15.065,43.025
116,5,4,15.349,45
117,3,4,15.54,45
118,5,4,15.653,45.025
119,12,4,15.66,46
120,10,3,15.576,46.025
121,5,3,15.408,47
122,8,3,15.134,47
123,N/A,3,14.788,47
124,N/A,3,14.366,47
125,N/A,2,13.876,47
126,N/A,2,13.316,46.025
127,N/A,2,12.717,45.025
128,N/A,2,12.076,44.025
129,N/A,1,11.372,42.05
130,N/A,1,10.71,41.025
131,N/A,1,9.994,40
132,N/A,1,9.286,38
133,N/A,1,8.587,36
134,N/A,1,7.893,33.025
135,N/A,0,7.231,31
136,N/A,0,6.562,29
137,N/A,0,5.939,27
138,N/A,0,5.33,25
139,N/A,0,4.779,23.025
140,N/A,0,4.254,21.025
141,N/A,0,3.784,19.025
142,N/A,0,3.341,17.025
143,N/A,0,2.933,15.025
144,N/A,0,2.567,13.025
145,N/A,0,2.221,11.025
146,N/A,0,1.923,10
147,N/A,0,1.655,9
148,N/A,0,1.419,8
149,N/A,0,1.197,7
150,N/A,0,0.987,6
151,N/A,0,0.83,5
152,N/A,0,0.677,4
153,N/A,0,0.554,3
154,N/A,0,0.446,3
155,N/A,0,0.355,2
156,N/A,0,0.272,2
157,N/A,0,0.207,2
158,N/A,0,0.163,1
159,N/A,0,0.12,1
160,N/A,0,0.08,1
161,N/A,0,0.055,1
162,N/A,0,0.038,1
163,N/A,0,0.023,0
164,N/A,0,0.014,0
165,N/A,0,0.008,0
166,N/A,0,0.005,0
167,N/A,0,0.002,0
168,N/A,0,0.001,0
169,N/A,0,0,0
170,N/A,0,0,0
171,N/A,0,0,0
172,N/A,0,0,0
173,N/A,0,0,0
174,N/A,0,0,0
175,N/A,0,0,0
176,N/A,0,0,0
177,N/A,0,0,0
178,N/A,0,0,0
179,N/A,0,0,0
180,N/A,0,0,0
181,N/A,0,0,0
182,N/A,0,0,0
183,N/A,0,0,0
184,N/A,0,0,0
185,N/A,0,0,0
186,N/A,0,0,0
187,N/A,0,0,0
188,N/A,0,0,0
189,N/A,0,0,0
190,N/A,0,0,0
191,N/A,0,0,0
192,N/A,0,0,0
193,N/A,0,0,0
194,N/A,0,0,0
195,N/A,0,0,0
196,N/A,0,0,0
197,N/A,0,0,0
198,N/A,0,0,0
199,N/A,0,0,0
200,N/A,0,0,0
201,N/A,0,0,0
202,N/A,0,0,0
203,N/A,0,0,0
204,N/A,0,0,0
205,N/A,0,0,0
206,N/A,0,0,0
207,N/A,0,0,0
208,N/A,0,0,0
209,N/A,0,0,0
210,N/A,0,0,0
211,N/A,0,0,0
212,N/A,0,0,0
213,N/A,0,0,0
214,N/A,0,0,0
215,N/A,0,0,0
216,N/A,0,0,0
217,N/A,0,0,0
