DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0,0,0,0
81,0,0,0,0
82,0,0,0,0
83,0,0,0,0
84,0,0,0,0
85,1,0,0,0
86,0,0,0,0
87,1,4,4,4
88,1,2,2,2
89,1,2,2,2
90,2,3,3,3
91,7,5,5,5
92,3,5,5,5
93,1,6,6,6
94,4,6,6,6
95,5,6,6,6
96,5,6,6,6
97,1,6,6,6
98,7,6,6,6
99,9,7,7,7
100,0,7,7,7
101,10,7,7,7
102,2,7,7,7
103,1,8,8,8
104,0,8,8,8
105,12,9,9,9
106,2,9,9,9
107,7,10,10,10
108,14,10,10,10
109,14,10,10,10
110,2,10,10,10
111,0,10,10,10
112,29,10,10,10
113,34,9,9,9
114,21,9,9,9
115,12,9,9,9
116,4,9,9,9
117,6,9,9,9
118,9,10,10,10
119,13,11,11.001,11
120,21,13,13,13
121,10,14,14,14
122,18,14,14,14
123,N/A,10,13.823,22
124,N/A,11,14.308,24
125,N/A,11,14.446,25
126,N/A,11,14.633,26
127,N/A,10,14.736,27
128,N/A,10,14.689,27
129,N/A,9,14.524,28
130,N/A,9,14.219,28.025
131,N/A,7,13.733,29
132,N/A,6,13.128,29.025
133,N/A,6,12.828,30
134,N/A,5,12.931,31
135,N/A,5,13.002,32
136,N/A,5,13.025,33
137,N/A,4.975,13.064,33.025
138,N/A,4,13.13,34.025
139,N/A,4,13.256,36.025
140,N/A,4,13.56,38
141,N/A,4,14.162,41.025
142,N/A,3,14.888,46
143,N/A,3,15.62,49.025
144,N/A,3,16.29,52.025
145,N/A,3,16.875,55
146,N/A,3,17.365,59
147,N/A,3,17.811,61.05
148,N/A,3,18.288,65.025
149,N/A,2,18.791,68.025
150,N/A,2,19.328,72
151,N/A,2,19.861,76
152,N/A,2,20.374,80
153,N/A,2,20.876,83.05
154,N/A,2,21.332,87.025
155,N/A,2,21.81,91
156,N/A,2,22.324,96
157,N/A,1,22.852,101.025
158,N/A,1,23.402,107
159,N/A,1,23.917,113
160,N/A,1,24.403,118
161,N/A,1,24.844,123
162,N/A,1,25.207,128
163,N/A,1,25.524,132
164,N/A,1,25.812,137
165,N/A,1,26.075,141
166,N/A,1,26.354,146
167,N/A,1,26.675,151
168,N/A,1,27.037,156
169,N/A,1,27.405,161.025
170,N/A,1,27.755,167
171,N/A,1,28.09,171
172,N/A,0.975000000000001,28.388,176
173,N/A,0,28.639,179.025
174,N/A,0,28.855,181
175,N/A,0,28.993,183
176,N/A,0,29.102,185
177,N/A,0,29.154,185
178,N/A,0,29.223,186
179,N/A,0,29.291,186
180,N/A,0,29.305,187
181,N/A,0,29.279,187.025
182,N/A,0,29.202,188
183,N/A,0,29.045,188.025
184,N/A,0,28.857,188
185,N/A,0,28.681,188
186,N/A,0,28.464,187.025
187,N/A,0,28.177,186.025
188,N/A,0,27.874,184.05
189,N/A,0,27.524,182.05
190,N/A,0,27.142,180.05
191,N/A,0,26.744,178.025
192,N/A,0,26.375,177.025
193,N/A,0,25.977,176
194,N/A,0,25.526,172.075
195,N/A,0,25.064,169.05
196,N/A,0,24.582,166.025
197,N/A,0,24.08,162.025
198,N/A,0,23.583,159
199,N/A,0,23.038,154.025
200,N/A,0,22.523,150.025
201,N/A,0,22,146.05
202,N/A,0,21.512,142.05
203,N/A,0,20.97,139.05
204,N/A,0,20.443,136.05
205,N/A,0,19.916,134.05
206,N/A,0,19.379,131.05
207,N/A,0,18.792,125.05
208,N/A,0,18.21,123
209,N/A,0,17.647,119.025
210,N/A,0,17.075,116
211,N/A,0,16.528,111
212,N/A,0,16.017,107.025
213,N/A,0,15.501,103.05
214,N/A,0,15.04,99.05
215,N/A,0,14.587,97.025
216,N/A,0,14.106,94.025
217,N/A,0,13.641,91
218,N/A,0,0,0
219,N/A,0,0,0
220,N/A,0,0,0
221,N/A,0,0,0
222,N/A,0,0,0
223,N/A,0,0,0
224,N/A,0,0,0
225,N/A,0,0,0
226,N/A,0,0,0
227,N/A,0,0,0
228,N/A,0,0,0
229,N/A,0,0,0
230,N/A,0,0,0
231,N/A,0,0,0
232,N/A,0,0,0
233,N/A,0,0,0
234,N/A,0,0,0
235,N/A,0,0,0
236,N/A,0,0,0
237,N/A,0,0,0
