DayOfYear,ActualDeaths,EstimatedLow,EstimatedMean,Estimated High
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0
57,0,0,0,0
58,0,0,0,0
59,0,0,0,0
60,0,0,0,0
61,0,0,0,0
62,0,0,0,0
63,0,0,0,0
64,0,0,0,0
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,1,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,9,10,10,10
80,4,3,3,3
81,6,3,3,3
82,0,4,4,4
83,6,5,5,5
84,11,6,6,6
85,9,7,7,7
86,9,8,8,8
87,10,10,10,10
88,13,11,11,11
89,4,12,12,12
90,20,14,14,14
91,23,16,16,16
92,29,19,19,19
93,21,21,21,21
94,22,23,23,23
95,10,25,25,25
96,12,28,28,28
97,73,31,31,31
98,54,33,33,33
99,22,34,34.001,34
100,41,34,34,34
101,12,32,32,32
102,11,31,31,31
103,10,30,30,30
104,0,31,31,31
105,81,33,33,33
106,52,35,35,35
107,41,37,37.001,37
108,50,39,39,39
109,8,40,40,40
110,14,40,40,40
111,79,40,40,40
112,49,39,39,39
113,27,37,37,37
114,36,34,34,34
115,17,33,33,33
116,7,33,33,33
117,10,35,35,35
118,77,39,38.999,39
119,41,43,43,43
120,61,46,46.001,46
121,39,49,49.001,49
122,34,51,51,51
123,N/A,37,49.899,78
124,N/A,37,50.878,81
125,N/A,36,51.179,90.025
126,N/A,36,51.852,92.025
127,N/A,35,52.462,95
128,N/A,35,52.963,97.025
129,N/A,33,53.376,100
130,N/A,31,53.671,102
131,N/A,29,53.838,105
132,N/A,27,53.891,107
133,N/A,25,53.958,109.025
134,N/A,24,54.142,112.025
135,N/A,23,54.646,116.025
136,N/A,22,55.107,118
137,N/A,21.975,55.142,121
138,N/A,20,54.908,120
139,N/A,19,54.567,122.025
140,N/A,18,54.2,124.025
141,N/A,17,54.488,127.025
142,N/A,16,55.54,132.05
143,N/A,15.975,56.927,137.05
144,N/A,15,58.275,146
145,N/A,14.975,59.499,150.075
146,N/A,14,60.268,156.05
147,N/A,13.975,60.37,160
148,N/A,13,60.384,162
149,N/A,12,60.541,164
150,N/A,11.975,60.787,166.05
151,N/A,11,60.909,169.025
152,N/A,10,60.843,171
153,N/A,10,60.626,171.025
154,N/A,9,60.266,172.025
155,N/A,8.975,59.687,174
156,N/A,8,59.195,174.025
157,N/A,8,59.203,175.025
158,N/A,7.975,59.385,179
159,N/A,7,59.477,182.025
160,N/A,7,59.335,183.025
161,N/A,6,58.912,183.025
162,N/A,6,57.903,181.025
163,N/A,5.975,56.587,178.075
164,N/A,5,55.168,175.1
165,N/A,5,53.726,174.025
166,N/A,4,52.266,170.075
167,N/A,4,50.958,168.075
168,N/A,4,49.658,166.025
169,N/A,3,48.368,163.025
170,N/A,3,47.185,160.05
171,N/A,3,46.033,158.025
172,N/A,3,44.884,156
173,N/A,3,43.748,153
174,N/A,2,42.75,151
175,N/A,2,41.671,148.025
176,N/A,2,40.378,145
177,N/A,2,39.106,141.025
178,N/A,2,37.844,137.05
179,N/A,2,36.495,134.025
180,N/A,1,35.115,131.025
181,N/A,1,33.858,127
182,N/A,1,32.778,122.05
183,N/A,1,31.692,120
184,N/A,1,30.531,117.025
185,N/A,1,29.355,113
186,N/A,1,28.206,109.025
187,N/A,1,26.949,106
188,N/A,1,25.707,102
189,N/A,1,24.522,97.025
190,N/A,1,23.383,93
191,N/A,1,22.322,90
192,N/A,1,21.385,87
193,N/A,0,20.512,84
194,N/A,0,19.702,81
195,N/A,0,18.962,79
196,N/A,0,18.213,76
197,N/A,0,17.419,73.025
198,N/A,0,16.644,69.05
199,N/A,0,15.915,67
200,N/A,0,15.129,64.025
201,N/A,0,14.408,61.025
202,N/A,0,13.759,59
203,N/A,0,13.086,57
204,N/A,0,12.47,54
205,N/A,0,11.915,52
206,N/A,0,11.384,50
207,N/A,0,10.872,48
208,N/A,0,10.325,46
209,N/A,0,9.798,43
210,N/A,0,9.337,41
211,N/A,0,8.863,40
212,N/A,0,8.39,38
213,N/A,0,7.981,36.025
214,N/A,0,7.583,34.025
215,N/A,0,7.225,33.025
216,N/A,0,6.838,31.025
217,N/A,0,6.492,30.025
218,N/A,0,0,0
219,N/A,0,0,0
220,N/A,0,0,0
221,N/A,0,0,0
222,N/A,0,0,0
223,N/A,0,0,0
224,N/A,0,0,0
225,N/A,0,0,0
226,N/A,0,0,0
227,N/A,0,0,0
228,N/A,0,0,0
229,N/A,0,0,0
230,N/A,0,0,0
231,N/A,0,0,0
232,N/A,0,0,0
233,N/A,0,0,0
234,N/A,0,0,0
235,N/A,0,0,0
236,N/A,0,0,0
237,N/A,0,0,0
